time;sec;nsec;id;range
1513594442.665237;1513594442;665236949;180;0.0
1513594442.786502;1513594442;786501884;180;1.42
1513594442.991075;1513594442;991075038;180;1.47
1513594443.093216;1513594443;93215942;180;1.46
1513594443.195429;1513594443;195429086;180;1.48
1513594443.297526;1513594443;297525882;180;1.51
1513594443.399888;1513594443;399888038;180;1.51
1513594443.501635;1513594443;501635074;180;1.52
1513594443.60453;1513594443;604530096;180;1.57
1513594443.706663;1513594443;706662893;180;1.48
1513594443.808886;1513594443;808886051;180;1.51
1513594443.911131;1513594443;911130905;180;1.53
1513594444.115173;1513594444;115173101;180;1.5
1513594444.217582;1513594444;217581987;180;1.65
1513594444.320117;1513594444;320116996;180;1.63
1513594444.422039;1513594444;422039031;180;1.64
1513594444.524373;1513594444;524373054;180;1.67
1513594444.626634;1513594444;626633882;180;1.66
1513594444.728736;1513594444;728735923;180;1.65
1513594444.933209;1513594444;933208942;180;1.72
1513594445.035443;1513594445;35443067;180;1.6
1513594445.239799;1513594445;239799022;180;1.6
1513594445.342162;1513594445;342161893;180;1.6
1513594445.444415;1513594445;444415092;180;1.6
1513594445.546719;1513594445;546719074;180;1.56
1513594445.648969;1513594445;648968935;180;1.54
1513594445.751053;1513594445;751053094;180;1.51
1513594445.853215;1513594445;853214979;180;1.5
1513594445.955694;1513594445;955693960;180;1.47
1513594446.057835;1513594446;57835102;180;1.45
1513594446.160154;1513594446;160154104;180;1.45
1513594446.364545;1513594446;364545106;180;1.37
1513594446.46671;1513594446;466710090;180;1.36
1513594446.568849;1513594446;568849086;180;1.38
1513594446.671068;1513594446;671067953;180;1.35
1513594446.773463;1513594446;773463010;180;1.35
1513594446.875696;1513594446;875695943;180;1.31
1513594446.93644;1513594446;936439990;177;0.0
1513594447.094088;1513594447;94088077;180;1.31
1513594447.108081;1513594447;108081102;177;1.6
1513594447.217996;1513594447;217995882;180;1.28
1513594447.232202;1513594447;232202053;177;1.58
1513594447.340749;1513594447;340749025;180;1.28
1513594447.354727;1513594447;354727029;177;1.63
1513594447.588843;1513594447;588843107;180;1.19
1513594447.602743;1513594447;602742910;177;1.65
1513594447.71136;1513594447;711359977;180;1.14
1513594447.725557;1513594447;725557088;177;1.67
1513594447.835026;1513594447;835026025;180;1.16
1513594447.849436;1513594447;849436044;177;1.68
1513594447.958189;1513594447;958189010;180;1.14
1513594447.972129;1513594447;972129106;177;1.68
1513594448.081789;1513594448;81789016;180;1.13
1513594448.096208;1513594448;96208095;177;1.72
1513594448.206391;1513594448;206391096;180;1.14
1513594448.220192;1513594448;220191955;177;1.7
1513594448.328941;1513594448;328941106;180;1.16
1513594448.34301;1513594448;343009948;177;1.72
1513594448.452973;1513594448;452972888;180;1.12
1513594448.466916;1513594448;466916084;177;1.76
1513594448.577059;1513594448;577059030;180;1.03
1513594448.590996;1513594448;590996026;177;1.75
1513594448.699168;1513594448;699167966;180;1.09
1513594448.713731;1513594448;713731050;177;1.84
1513594448.946446;1513594448;946445941;180;0.99
1513594448.960427;1513594448;960427045;177;1.82
1513594449.070468;1513594449;70467948;180;1.06
1513594449.08437;1513594449;84369897;177;1.85
1513594449.194437;1513594449;194437026;180;1.14
