time;sec;nsec;id;range
1510921870.040043;1510921870;40043115;178;0.0
1510921870.162726;1510921870;162725925;178;5.45
1510921870.264982;1510921870;264981985;178;5.48
1510921870.367098;1510921870;367098093;178;5.47
1510921870.469316;1510921870;469316005;178;5.44
1510921870.571558;1510921870;571557998;178;5.48
1510921870.673764;1510921870;673763990;178;5.46
1510921870.776042;1510921870;776041984;178;5.45
1510921870.878236;1510921870;878236055;178;5.43
1510921870.980406;1510921870;980406045;178;5.41
1510921871.082633;1510921871;82633018;178;5.44
1510921871.184909;1510921871;184909105;178;5.43
1510921871.287122;1510921871;287122011;178;5.42
1510921871.389291;1510921871;389291048;178;5.46
1510921871.491523;1510921871;491523027;178;5.44
1510921871.593756;1510921871;593755960;178;5.45
1510921871.695887;1510921871;695887088;178;5.49
1510921871.798167;1510921871;798166990;178;5.48
1510921871.900372;1510921871;900372028;178;5.45
1510921872.002459;1510921872;2459049;178;5.45
1510921872.104788;1510921872;104788064;178;5.44
1510921872.166087;1510921872;166086912;177;0.0
1510921872.323245;1510921872;323245048;178;5.44
1510921872.337303;1510921872;337302923;177;1.62
1510921872.44733;1510921872;447329998;178;5.43
1510921872.461263;1510921872;461262941;177;1.69
1510921872.569915;1510921872;569915056;178;5.42
1510921872.584026;1510921872;584026098;177;1.66
1510921872.6937;1510921872;693700075;178;5.41
1510921872.70806;1510921872;708060026;177;1.65
1510921872.818005;1510921872;818005084;178;5.37
1510921872.832013;1510921872;832012891;177;1.62
1510921872.940558;1510921872;940557956;178;5.42
1510921872.954728;1510921872;954727888;177;1.68
1510921873.064715;1510921873;64714908;178;5.41
1510921873.078607;1510921873;78607082;177;1.67
1510921873.188703;1510921873;188703060;178;5.41
1510921873.202766;1510921873;202765941;177;1.66
1510921873.311221;1510921873;311220884;178;5.4
1510921873.325388;1510921873;325387954;177;1.65
1510921873.435295;1510921873;435295104;178;5.43
1510921873.449397;1510921873;449397087;177;1.68
1510921873.558064;1510921873;558063983;178;5.39
1510921873.572067;1510921873;572067022;177;1.71
1510921873.682044;1510921873;682044029;178;5.41
1510921873.696097;1510921873;696096897;177;1.71
1510921873.806079;1510921873;806078910;178;5.43
1510921873.82007;1510921873;820070028;177;1.64
1510921873.928701;1510921873;928700923;178;5.39
1510921873.942744;1510921873;942744016;177;1.66
1510921874.052649;1510921874;52649021;178;5.42
1510921874.066781;1510921874;66781044;177;1.71
1510921874.176797;1510921874;176796913;178;5.46
1510921874.190813;1510921874;190813064;177;1.63
1510921874.299424;1510921874;299423933;178;5.43
1510921874.313354;1510921874;313354015;177;1.7
1510921874.42347;1510921874;423470020;178;5.41
1510921874.437481;1510921874;437480926;177;1.67
